name,checkpoint,pixel_acc,mIoU_present,mIoU_all,F1_micro,mF1_present,mF1_all,present_classes
CE_IOU,/kaggle/input/mimimi/checkpointCEIOU.pth,0.925823986530304,0.3707776665687561,0.28735268115997314,0.7188867926597595,0.49057459831237793,0.3801953196525574,62
FOCAL_DICE,/kaggle/input/mimimi/checkpointFOCALDICE.pth,0.9178998470306396,0.35896405577659607,0.27819713950157166,0.6873783469200134,0.48352497816085815,0.3747318685054779,62
CE,/kaggle/input/mimimi/checkpointCE.pth,0.8907170295715332,0.19543763995170593,0.15146417915821075,0.5394502878189087,0.2840464115142822,0.22013600170612335,62
IOU,/kaggle/input/mimimi/checkpointIOU.pth,0.8308662176132202,0.003656086279079318,0.0028334667440503836,0.11975385993719101,0.006063130218535662,0.004698925651609898,62
