epoch,train_loss,val_loss,lr,elapsed_sec,timestamp
0,1.1813249704241753,1.1260480515956879,9.755282581475767e-05,2514.6108872890472,1766431334
1,1.1239478843510151,1.1028223839998246,9.045084971874735e-05,2516.7661848068237,1766433851
2,1.0986620573997496,1.0966747040748597,7.938926261462365e-05,2516.1301176548004,1766436369
3,1.0771128915548325,1.0871029833555221,6.545084971874736e-05,2516.946371078491,1766438888
4,1.056027429163456,1.0848727301359176,4.999999999999999e-05,2516.5780880451202,1766441406
5,1.0354462947249412,1.0772361661195755,3.454915028125262e-05,2516.087657213211,1766443924
6,1.0153721428513527,1.082146040201187,2.0610737385376342e-05,2515.872505426407,1766446442
7,0.9998231200575829,1.078112021923065,9.54915028125263e-06,2516.1017673015594,1766448959
8,0.9879269129633903,1.0722444190979004,2.4471741852423225e-06,2516.2410962581635,1766451476
9,0.982493737667799,1.0864677673578262,0.0,2516.1527280807495,1766453994
