epoch,train_loss,val_loss,lr,elapsed_sec,timestamp
0,1.0027465420663357,0.743410380885005,9.755282581475767e-05,2236.30708694458,1766261019
1,0.7766029820814728,0.7014077588021755,9.045084971874735e-05,2238.3887696266174,1766263259
2,0.684489145245403,0.6895084657594561,7.938926261462365e-05,2238.6437594890594,1766265499
3,0.6055552482903004,0.6307849899157881,6.545084971874736e-05,2238.885363340378,1766267740
4,0.5249188212547451,0.6162659692913294,4.999999999999999e-05,2238.8819177150726,1766269980
5,0.4518082843525335,0.5963157572895288,3.454915028125262e-05,2240.0309109687805,1766272222
6,0.3792716937158257,0.6035684856660664,2.0610737385376342e-05,2239.3620371818542,1766274463
7,0.31896325675025583,0.6057011001594365,9.54915028125263e-06,2239.1393659114838,1766276703
8,0.2716226242049597,0.6043803062215447,2.4471741852423225e-06,2239.174413919449,1766278943
9,0.24692980642663315,0.6212241112701595,0.0,2239.870993375778,1766281184
